Start Time,End Time,Duration
19:34:28,19:39:09,280.127
19:42:16,19:44:51,154.888
19:44:55,19:47:02,126.944
19:47:04,19:49:14,129.008
19:49:16,19:51:28,131.317
19:51:31,19:54:01,149.496
19:54:03,19:56:33,149.181
19:56:36,19:58:55,138.506
19:58:58,20:01:07,128.799
20:01:10,20:03:34,143.788
20:06:23,20:08:58,154.145
20:09:00,20:11:40,159.779
20:11:43,20:14:22,158.875
20:14:25,20:17:05,159.366
20:17:07,20:19:42,154.493
20:20:34,20:29:43,548.819
20:29:46,20:40:01,614.755
20:40:04,20:49:22,557.996
20:49:25,20:58:33,547.720
20:58:36,21:06:58,501.919
21:06:59,21:11:14,254.712
21:11:17,21:15:33,255.505
21:15:35,21:20:12,276.189
21:20:15,21:24:52,276.710
21:24:54,21:29:26,271.040
